review,ID,리뷰수(유저),평균별점,별점(유저),별점,리뷰수,상호명,주소,감성점수
커피 맛있다 친절하다 화장실 깨끗하다 주말 에는 노트북 쓰다 평일 쓸다 있다 친절하다 우아하다 곳임,h,7,4.4,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
분위기 정말 좋다 사장 너무 친절하다,뷁,9,4.6,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
신촌 가면 가보다 싶다 이다,종은(Joung Eun),1,5.0,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,0.0
커피 차다 복잡하다 신촌 그나마 여유 찾다 있다,ㅎㄴ,33,4.5,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,0.0
커피 진짜 맛있다 사과 맛있다 가게 조금 지만 특유 포근하다 느낌 있다 좋아하다,비치,133,3.8,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,1.75
오래되다 분위기 그윽 하고 잔잔하다 커피 진하다 좋다,석현,180,4.4,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
조용하다 분위기 옛날 카페 이다 브라우니 맛있다 사이 커피 맛있다,리뷰몰아서쓰는사람aka벼락치기인간,151,4.6,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
연대 국문과 교수 들다 추정 되다 분들 에서 비평 토론 하다 그렇다 대화 오가다 어울리다 분위기 들어서다 죄송하다 많다 지성 느껴지다 옛날 정취 느끼다 있다 그리고 커피 만들다 친절 잘생기다 가다 시픔 화장실 깔다 끄다 크다 알다 주문 하다 음미 하다 조금 어리다 수도 그렇다 그냥 평범하다,drgz,346,4.1,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,0.86
부대찌개 맥주 소주 국룰,브루마스터,3,5.0,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,0.0
꽁치 구이 정말 맛있다,9sweet1,3,5.0,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
엄마따라 추억 여행 재밌다 맛있다,최연경,10,3.9,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
커피 진수 게이샤 제대로 만들다 안되다 이다 자다 말다 원두 구매 하고 좋다,기술사관,301,4.2,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,1.5
훌륭하다 핸드 드립커피 엄지 이다 조금 조용하다 위치 파다 자다 보고 으로 올라가다 천국 같다 커피 ㅎㅎ 오늘 사장 직접 리신 게이샤 마시다 보다 고소하다 엘살바도르,K,1,5.0,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,1.5
분위기 모두 완벽하다,최고의 맛을 찾아서,242,3.7,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
신촌 줏대 카페 사이 커피 유명하다 비록 기대하다 만큼은 아니다 오랜 간만 사이 커피 밉다 신촌 추억 즐기다,고독한 탐식가,"5,434",3.1,4,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,-0.6
신촌 최고 커피집 과학 실험 같다 사이 추출 경험 하다 있다,웋,106,4.3,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
신촌 노포 특유 분위기 좋다,알리오올리오,141,4.2,4,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
미네르바 오다 사이 커피 추천 하다 커피 안좋다 에가 서다 카누 들다,승주,8,4.8,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,0.0
커피 진짜 장난 아니다 완전 입안 남다 그윽함 생각 하다 비싸다 않다,...,165,3.8,5,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,-2.0
않다 좋다 혼자 와도 창가 앉다 쉬다 좋다,슬피우는빵,42,3.3,4,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,2.0
없다 추억 생기다 같다,냠냠,73,4.0,4,4.5,48,미네르바,서울 서대문구 명물길 18 2층 (지번) 창천동 13-26,-1.0
내부 넓이 적당하다 편입 화장실 따로 있다 좋다 아이스크림 굳다,너마늘사랑해,359,4.2,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.5
커피 테이크아웃 으로 하다 오백원 천원 할인 되다 커피 진하다 좋다,Adabeeee,47,3.3,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.5
스콘 이랑 커피 시키다 먹다 스콘 먹다 이빨 나가다 있다 지하철 신촌역 에서 출발 하다 접근성 졸라 후짐 이랑 세브란스 병원 근무 자만 이용 하다,김대충,107,3.7,3,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.0
바움쿠헨 맛있다 디저트 종류 많다,무무,283,4.5,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
비싸다 맛있다 평타,아아하하,78,3.2,3,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.0
카페 예쁘다 친절하다 원두 산미 없다 고소하다 이라 크다 호불호 없다 같다 커피 디카 페인 주문 가능하다 우유 두유 변경 가능하다 인용 스터디 좌석 따로 있다 자리 마다 콘센트 있다 담요 준비 되어다 있다 핸드폰 충전기 있다 여러 충전 가능하다 속도 괜찮다 디저트 종류 많다 다시 오다 싶다,🐱야옹,10,4.2,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.2
분위기 좋다 커피 종류 다양하다 좋다,qwerty,206,3.8,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.67
너무 맛있다 분위기 차분하다 카페 이다 에그타르트 맛집 이에요,김성민,7,5.0,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
디저트 가끔 바뀌다 같다 여태 먹다 보다 맛있다 주말 이용 시간 시간 제한 있다 카공 하다 자리 있다 사람 많다 조용하다 않다 스피커 음악 소리 크다,조수연,1,5.0,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.67
가격 빡세,김미래,35,3.2,4,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.0
디카 페인 러버 에게는 천국 먹다 옵션 많다 다만 가격 조금 빡세 인테리어 분위기 이라고 생각 하다 아깝다 않다 콘센트 있다 공도 가능하다,젤라또광인,55,4.5,4,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.0
싸다 않다 맛있다 자주 가다 쿠폰 바퀴 돌다,suskind,31,3.5,4,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
쉬폰 커튼 파티션 창밖 노을 예쁘다 물들다 분위기 너무 좋다 이에요,솔방울,5,5.0,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
맛있다 계속 가게 되다 카페 진짜 맛있다,마리오네,17,4.9,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
베이 하다 선생님 만수무강 하다 그만두다 어디 갈다 베이 하다 알다 가세 여기 스콘 아니다 먹다,톡끠,45,3.4,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,-1.5
피스타치오 라떼 궁금하다 먹다 보다 예상외 쫀맛 이다 커피 부들부들,🐷,52,4.2,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.0
마들렌 정말 맛있다,뚱띠,50,4.6,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
말차 오레오 케이크 진짜 맛있다 헉헉 쿠키 맛있다 스콘 무난 하다 맛있다 게다가 무엇 보다도 너무 너무 친절 제발 말차 케이크 모르다 사람 없다 해주다,얌얌냠,40,4.2,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.4
피스타치오 크림 라떼 아이스크림 올라가다 바움쿠헨 플레인 전부 적당하다 정도 달달 플레이 까지 예쁘다 가격 인테리어 좋다 자주 가다,길찾는중,27,4.6,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.67
우연이 지나가다 들어가다 너무 좋다 카페 에서 보기 이렇게 예쁘다 모르다 부도 너무 이쁘다 디저트 커피 모두 맛있다 독서실 처럼 공부 하다 자리 있다 좋다,JMWN88,59,3.6,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
인테리어 예쁘다 아인슈페너 맛있다,cocojelly,29,4.3,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
분위기 좋다 커피 무난 하고,뮤뮤,420,4.0,4,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
커피 기대 보다는 그냥 그랬는데 아메리카노 싫어하다 라떼 내부 좋다,aa,632,3.6,4,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.33
천원 할인 되다 아메리카노 투고 사이즈 너무 작다 마지막 사진 어제 말다 비교,이론변이있나~,296,2.2,3,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.0
분위기 굿굿 오다 후회 하다,호옹,30,4.3,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,-2.0
커피 빼다 디저트 별로 하나 도안 먹음,JN,1,3.0,3,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.0
음료 맛있다 분위기 넘다 좋다,냠,49,3.6,4,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
예쁘다 개인 카페 인데 이상하다 공부 하다 사람 아아 아주 많다 특이하다 곳맛 그럭저럭 괜찮다,서대문구대표돼지,817,3.3,3,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,1.0
커피 맛있다,ㅁ,12,3.8,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,2.0
공부 하다,박현우,6,4.3,5,4.6,41,문베어,서울 서대문구 명물길 66 1층 (지번) 창천동 5-21,0.0
빙수 좋다 손님 많다 시끄럽다 빼다,헉헉,198,4.3,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.67
딸기 빙수 설빙 은근 커피 맛집 단체 손님 너무 시끄럽다 조용하다 시키다 ㅠㅠ,맛집헌터즈,145,4.4,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
그럭저럭 오케이 근데 사람 너무 많다 시끌시끌하다 정말 별로,겸둥이,152,3.9,3,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
바쁘다 알바생 친절하다 근데 갈다 마다 자리 없다 설빙 평균,정왕동불주먹,14,3.3,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.5
하나 좌석 빽빽하다 많다 그래도 주말 점심 미숙 알바생 있다 타임 이라 런가 빙수 사이드 메뉴 요리 상태 노답 이라서 점수 주다 없다 시간 오래 걸리다 음식 익다 상태 그냥 나오다 그렇다 설빙 빙수 자다 나오다 되다,user871,56,4.4,2,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.5
장통 이어도 빙수 맛남,처음처럼,77,4.1,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
여자 화장실 깔다 끄다 평균 이상 사람 많다 자리 좁다,아아하하,78,3.2,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
남자 화장실 너무 더럽다 변기 수압 너무 약하다 내다 이전 사용 사람 용변 떠다니다,本家,39,4.4,1,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-1.5
설빙 정말 좋다,아르마다,300,4.9,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
좋다 테이블 이나 매장 청소 정말 안되다 있다 최소한 주말 붐비다 시간 에는 테이블 보다 직원 있다 야하다 같다,J:,109,3.8,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
인절미 빙수 진짜 맛있다,찐,5,2.6,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
넓다 쾌적하다 건물 에서 옮기다,ㅎㅇ,185,4.2,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
먹다 좁다 아쉬윰,오늘은하체다,9,3.8,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
역시 설빙 최고 이다,bs,2,5.0,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
좋다 급식,먹고살자,42,4.0,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
모야 언제 여기 옮기다,쿠로미 노트,396,4.2,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
노래 소리 살짝 크다 공간 자체 좁다 사람 목소리 섞이다 시끄럽다 같다 그리고 옛날 보다 블루베리 치즈 적다 레시피 바뀌다 걸다 그래도 번창 하다,정직한냥이,11,3.3,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.5
나오다 티라미수 빙수 장소 좋다 직원 친절하다 깨끗하다 고객 젊다 약간 시끄럽다 좋다,Simin,29,2.3,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,1.17
빙수 말고도 메뉴 엄청 많다,껄무새,4,3.0,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
좌석 많다 토핑 듬뿍 주다 편입,ㅇㅇ,189,4.2,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
손님 그렇게 많다 직원 매우 친절하다 다만 포장 밀리다 인지 아무리 누르다 넣다 해도 순간 맛있다 보이지 않다,kei,62,4.3,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
오랜 들르다 ㅎㅎ,yxcvsdgp226,128,4.5,3,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,1.0
공간 츠므류 늘버,겸(바이크),30,3.4,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
여름 설빙,지킬앤하이드,37,4.9,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
치즈 인절미,만쥬,4,2.0,1,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
대학생 메카 프랜차이즈 리뷰 자다 싶다 대로 평타 치다 여기다 까지 있다 넓다 카공 과제 수다 좋다,기록중,33,4.4,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
나쁘다 않다,현지,157,4.4,3,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-2.0
하다 개도 아깝다 사람 많다 이해 하고 주문 밀리다 이해 포장 이라고 주문 하다 장용 으로 나오다 시간 없다 그대로 옮기다 담다 빨리 가져가다 있다 달래다 십분 기다리다 야하다 본인 실수 처리 라도 신속하다 해주다 정이 떨어지다 다시다 간다 행주 부러지다 파리 마리 다정하다 앉다,perec.,55,3.6,1,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.12
설빙 원래 이렇게 비싸다 가격 창렬됨 그냥 얼음 인절미 가루 뿌리다 인절미 설빙 만원 가까이 하다 ㅋㅋ 예전 설빙 거의 빙수 혁명 이라 많이 가다 지금 빙수 전문점 많아지다 갈다 이유 없다 매장 넓다,수달,34,3.2,2,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-1.5
사람 거의 끊임없다 들어오다 ㅋㅋ 그래서 그렇다 직원 분들 에게서 친절 이라고는 찾아보다 없다 하지만 설빙 정말 맛있다,AEYoo,354,4.9,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,1.0
빙수 많다 깔끔하다 만들다 맛있다,초롱방글,4,5.0,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
알다 설빙,김우성,213,4.3,3,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
남자 직원 주문 받다 태도 너무 가지 없다 들어오다 보고서 인사 한마디 없다 주문 받다 달라 니까 오다 받다 같이 일행 이랑 위아래 훑다 보다 ㅋㅋㅋ 너무 기분 나쁘다,ㄹ,21,2.5,1,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.17
직원 힘들다 알다 주문 받다 한마디 안함 그냥 고개 끄덕 눈흘깃,히우쿠,59,3.8,2,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.5
카운터 아저씨 매력 만점 많다 적다 자다 모르다,현미,48,3.9,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
사람 너무 많다 시끄럽다 직원 분들 넘치다 손님 때문 정신 없다 보이,달동,139,4.1,2,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.33
다른 설빙 보다 재료 적다 넣다 조금 이고 인절미 가루 적다,키,29,2.7,2,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.0
여기 가맹 인지 직영 인지 모르다 좋다 양도 푸다 하고 좋다 전국 설빙 매장 가보다 아니다 신촌 만큼만 하다 고객 방문 하다 없다 겁니다 ㅎㅎ,푸른하늘,4,3.5,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,0.4
맛있다 사람 많다,blanca,191,3.5,3,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
피크 시간대 에는 관광객 많다 사람 진짜 많다 다행하다 으로 나눠지다 있다 자리다 어떻 앉다 있다,JkeM,173,4.2,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,1.0
배달민족 으로 주문 시키다 만나다 결제 남다 없다 대요 그래서 여기 남다 되어다 어제 친구 리얼 그린티 설빙 시키다 아예 다르다 오다 게다가 소스 봉투 에서 흐르다 상태 에서 배달 받다 친구 초콜릿 싫어하다 저만 않다 설빙 먹다 ㅠㅜ 그리고 아이스크림 녹다 소스 없이 너무 없다 먹다 없다 결국 낭비 되다 한마디 실망,.,12,3.3,1,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,-0.56
같다 체인점 인데 다른 지점 보다 맛있다 분위기 좋다 가족 끼리 오기 에도 좋다 같다,맛집탐방,8,4.3,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
자주 가다 좋다 빙수,하늘,3,5.0,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
설빙 신촌 제일 맛있다 같다 매장 관리 되다 좋다 만족하다 이용 하다 추천 추천,행복은셀프,2,5.0,5,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
사람 매우 많다 초코 그린티 빙수 맛있다,띵,857,4.3,4,3.9,65,설빙 신촌점,서울 서대문구 연세로 23 2층 (지번) 창천동 33-43,2.0
직원 분들 친절하다 좋다,솔찍한심정,55,4.5,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
명물 거리 직원 분들 제일 친절하다 같다,막구,2,5.0,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
가게 내부 엘레베이터 있다 이지만 면적 작다 넓다 않다 위치 너무 좋다,LHS,131,3.6,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
짜다 매장 인데 매장 엘레베이터 있다 이용 하다 편하다,맛집 탐방,35,4.9,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
자리 없다 엘베 타고 자리 잡고 사이렌 주문 스벅 신선하다 메뉴 개발 하다,맛보기,529,3.6,3,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,0.0
추천 직원 친절,야옹,20,3.2,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
여러 이라 좋다,ㅇㅇ,292,4.4,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
넘다 좋다,맛집탐방 아르테타,80,3.5,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
콜드 블루 곡물 라떼 굳다,정히를따르라,908,3.5,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,0.0
파트너 친절하다,어드밴처타임,21,4.2,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
신촌 스벅 여기 가요 다만 화장실 근처 소파 자리 있다 여기 앉다 화장실 특유 락스 방향 냄새 어나 오는 느껴지다 그래도 자리 많다 엘레베이터 있다 편하다,음앗넹,98,4.4,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
알바생 친절하다,.,4,3.5,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
친절하다 항상 홀더 문구 써주다 기분 좋아지다 ㅎㅎ 감사하다,nick,9,3.3,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,1.75
항상 컵홀더 멘트 써주다 감동 너무 친절하다,고으니,21,3.5,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
이렇게 까지 친절하다 스벅,메추리알,34,4.0,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
좌석 넉넉하다 직원 시간 따르다 다른 그래도 친절하다 편입 간간이 매장 테이블 청소 하다 커피,유쾌한 미식가,267,3.9,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,1.5
마시다 내내 즐겁다 행복하다,무라무,3,5.0,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
실수 음료 쏟다 같이 치우다 음료 새롭다 만들다 주다 정말 너무 죄송하다 감사하다 베다 에서 순식간 되다 매직 경험 하다 이렇게 친절하다 테이블 거리 니까 따다 갈다 음료 새롭다 갖다 드리다 해주다 진짜 너무 죄송스럽다 감사하다 으로 신촌스벅 여기 오다 성하다,지니,6,5.0,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,0.67
조용하다 좋다,물,577,3.4,4,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
모델링 하고 좋아지다,qwerty,206,3.8,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
사람 많다,sz,201,4.4,3,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
마스크 쓰다 떠들다 직원 분들 아무 관리 하다 환기 되다 인데,레모나,7,2.1,1,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,-1.0
깨끗하다 좌석 없다 콘센트 없다,Livvy,243,3.6,3,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,0.0
신촌역 자리 없다 여기다 개꿀,솔부엉이,107,2.2,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,-1.0
친절하다 직원 독특하다 억양 ㅋㅋ,알렉세이,397,4.3,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,1.5
주문 음료 잘못 나오다 바꾸다 달라 하다 거절 당하다 손님 실수 라고 돌림,마리무민,1,1.0,1,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,-1.33
라는 남자 직원 엄청 친절하다,ㅎ,118,3.5,5,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,2.0
공부 하다 사람 많다 처음 들어가다 조용하다 하다 눈치 보이다 그냥 상관 하고 친구 있다 낮다 테이블 많다 의자 푹신하다 좋다,ㅇㅎㅈ,9,3.8,4,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,1.75
여기 공부 하다 너무 많다 독서실 인지 카페 인지 자리 기본 이고 자리 차지 하고 있다 들다 컴퓨터 돌리다 덥다 냄새,David,26,3.5,1,4.4,45,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층 (지번) 창천동 13-19,0.5
브런치 카페 찾다 청첩장 모임 하다 가다 건물 외부 분위기 미치다 내부 정말 따뜻하다 세심 분위기 이다 있다 플레이 예쁘다 어요 차다 더치커피 초콜릿 맛있다 커피 이다 프렌치토스트 샌드위치,히히,12,4.3,5,3.6,31,베어스덴,"서울 서대문구 연희로4길 10 1,2층 (지번) 창천동 441",2.0
사진 에서 보다 상당하다 브런치 라고 음식 개미 눈물 만큼 주다 만원 받다 먹다 다른 브런치 카페 와는 비교 하다 없다 혜자 구성 자랑 풀때 기와 쪼가리 베이컨 조금 먹다 브런치 가게 가다 이해 하다 하다 베어스 가보다 편견 깨지다 살다보면 이렇다 종류 음식 땡기다 있다 특히 나이 적지 않다 먹다 아지 라면 더욱 그러하다 노화 때문 기르다 먹다 일어나다 속이다 부대끼다 견디다 수가 없다 그래서 이렇다 풀때 기르다 찾다 되다 이다 과음 다음 방문 하다 같다,김대충,107,3.7,4,3.6,31,베어스덴,"서울 서대문구 연희로4길 10 1,2층 (지번) 창천동 441",-0.89
지인 추천 으로 방문 하다 가성 최고 최고 에요 요즘 수제 이정 브런치 먹기 쉬다 않다 사장 너무 친절하다 분위기 좋다 최고 에요,정채윤,3,5.0,5,3.6,31,베어스덴,"서울 서대문구 연희로4길 10 1,2층 (지번) 창천동 441",2.0
리뷰 자다 쓰다 위생 심각하다 그냥 그렇다 사장 부담스럽다,.,3,3.7,1,3.6,31,베어스덴,"서울 서대문구 연희로4길 10 1,2층 (지번) 창천동 441",-2.0
